subject,block_id,t_start_sec,t_end_sec,stage,clean_channels
EPCTL01,N2_0,720.00,1140.00,N2,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL01,N3_1,1140.00,2580.00,N3,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL01,W_2,2730.00,3330.00,W,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL01,N2_3,3840.00,4410.00,N2,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL01,N3_4,4620.00,4950.00,N3,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL01,N3_5,5130.00,5850.00,N3,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL01,N2_6,5850.00,6210.00,N2,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL01,R_7,6900.00,7320.00,R,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,CP2,CP6"
EPCTL01,R_8,7350.00,8160.00,R,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL01,N2_9,8250.00,9180.00,N2,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL01,N3_10,9300.00,11130.00,N3,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL01,N2_11,11400.00,12060.00,N2,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL01,N2_12,12090.00,12660.00,N2,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL01,N2_13,12720.00,13050.00,N2,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL01,N2_14,13110.00,13500.00,N2,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL01,N2_15,13710.00,14460.00,N2,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL01,R_16,14670.00,15420.00,R,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL01,R_17,15450.00,16230.00,R,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL01,N2_18,16530.00,17460.00,N2,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL01,N2_19,17520.00,18810.00,N2,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
